sqft,price,price/sqft,zip,city,state,street_address,bedrooms,bathrooms,url,img
2216.0,690000,311.3718411552347,98030,Kent,WA,11631 SE 266th Ct,4,4,https://www.redfin.com/WA/Kent/11631-SE-266th-Ct-98030/home/22271035,https://ssl.cdn-redfin.com/photo/1/islphoto/301/genIslnoResize.2295301_0.jpg
2340.0,829000,354.2735042735043,98042,Covington,WA,28248 187th Ave SE,4,4,https://www.redfin.com/WA/Kent/28248-187th-Ave-SE-98042/home/383289,https://ssl.cdn-redfin.com/photo/1/islphoto/800/genIslnoResize.2294800_1.jpg
1860.0,826920,444.5806451612903,98092,Auburn,WA,12424 SE 305th Pl,3,3,https://www.redfin.com/WA/Auburn/12424-SE-305th-Pl-98092/home/192744183,https://ssl.cdn-redfin.com/photo/595/islphoto/B12/genIslnoResize.CCE9A4FDDB12_0.jpg
5998.0,1749999,291.7637545848616,98042,Kent,WA,31250 157th Pl SE,5,5,https://www.redfin.com/WA/Kent/31250-157th-Pl-SE-98042/home/22224767,https://ssl.cdn-redfin.com/photo/1/islphoto/359/genIslnoResize.2294359_0.jpg
940.0,500000,531.9148936170212,98031,Kent,WA,22527 104th Ave SE,1,1,https://www.redfin.com/WA/Kent/22527-104th-Ave-SE-98031/home/385754,https://ssl.cdn-redfin.com/photo/1/islphoto/203/genIslnoResize.2294203_0.jpg
1450.0,660000,455.17241379310343,98031,Kent,WA,20182 110th Pl SE,3,3,https://www.redfin.com/WA/Kent/20182-110th-Pl-SE-98031/home/12306942,https://ssl.cdn-redfin.com/photo/1/islphoto/418/genIslnoResize.2278418_0.jpg
2597.0,879683,338.73045822102426,98092,Auburn,WA,12404 SE 305th Pl,5,5,https://www.redfin.com/WA/Auburn/12404-SE-305th-Pl-98092/home/192650011,https://ssl.cdn-redfin.com/photo/595/islphoto/23D/genIslnoResize.4D038B1B323D_1.jpg
2630.0,734888,279.42509505703424,98030,Kent,WA,1123 E MACLYN St,3,3,https://www.redfin.com/WA/Kent/1123-E-Maclyn-St-98030/home/398004,https://ssl.cdn-redfin.com/photo/1/islphoto/132/genIslnoResize.2293132_0.jpg
1608.0,840000,522.3880597014926,98030,Kent,WA,12013 SE Kent Kangley Rd,3,3,https://www.redfin.com/WA/Kent/12013-SE-Kent-Kangley-Rd-98030/home/405374,https://ssl.cdn-redfin.com/photo/1/islphoto/323/genIslnoResize.2291323_0.jpg
2550.0,799500,313.52941176470586,98030,Kent,WA,24110 119th Pl SE,4,4,https://www.redfin.com/WA/Kent/24110-119th-Pl-SE-98030/home/12317752,https://ssl.cdn-redfin.com/photo/1/islphoto/041/genIslnoResize.2289041_0.jpg
1860.0,815612,438.5010752688172,98092,Auburn,WA,12433 SE 305th Pl,3,3,https://www.redfin.com/WA/Auburn/12433-SE-305th-Pl-98092/home/192629316,https://ssl.cdn-redfin.com/photo/595/islphoto/48F/genIslnoResize.C3D5F3AB448F_0.jpg
1629.0,814353,499.9097605893186,98092,Auburn,WA,12405 SE 305th Pl,3,3,https://www.redfin.com/WA/Auburn/12405-SE-305th-Pl-98092/home/192629294,https://ssl.cdn-redfin.com/photo/595/islphoto/238/genIslnoResize.8ECA16F98238_1.jpg
2228.0,809200,363.1956912028725,98092,Auburn,WA,12411 SE 305th Pl,3,3,https://www.redfin.com/WA/Auburn/12411-SE-305th-Pl-98092/home/192629283,https://ssl.cdn-redfin.com/photo/595/islphoto/744/genIslnoResize.37D10085F744_1.jpg
886.0,280000,316.0270880361174,98198,Des Moines,WA,22810 30th Ave S Unit B103,2,2,https://www.redfin.com/WA/Des-Moines/22810-30th-Ave-S-98198/unit-B103/home/48429,https://ssl.cdn-redfin.com/photo/1/islphoto/423/genIslnoResize.2292423_0.jpg
3377.0,1100000,325.7328990228013,98042,Kent,WA,13527 SE 268th St,4,4,https://www.redfin.com/WA/Kent/13527-SE-268th-St-98042/home/398188,https://ssl.cdn-redfin.com/photo/1/islphoto/072/genIslnoResize.2290072_0.jpg
2500.0,790000,316.0,98042,Kent,WA,28314 193rd Ave SE,4,4,https://www.redfin.com/WA/Kent/28314-193rd-Ave-SE-98042/home/382382,https://ssl.cdn-redfin.com/photo/1/islphoto/824/genIslnoResize.2280824_0.jpg
3420.0,799000,233.62573099415204,98030,Kent,WA,25617 129th Ave SE,4,4,https://www.redfin.com/WA/Kent/25617-129th-Ave-SE-98030/home/402034,https://ssl.cdn-redfin.com/photo/1/islphoto/714/genIslnoResize.2289714_1.jpg
880.0,495000,562.5,98032,Kent,WA,26012 36th Pl S,2,2,https://www.redfin.com/WA/Kent/26012-36th-Pl-S-98032/home/206490,https://ssl.cdn-redfin.com/photo/1/islphoto/291/genIslnoResize.2288291_0.jpg
1069.0,365000,341.4405986903648,98030,Kent,WA,10822 SE 260th St Unit 2B1,2,2,https://www.redfin.com/WA/Kent/10822-SE-260th-St-98030/unit-2B1/home/175676248,https://ssl.cdn-redfin.com/photo/1/islphoto/767/genIslnoResize.2289767_0.jpg
8376.0,1850000,220.8691499522445,98032,Kent,WA,412 418 W Meeker St,8,8,https://www.redfin.com/WA/Kent/412-W-Meeker-St-98032/home/101625989,https://ssl.cdn-redfin.com/photo/1/islphoto/239/genIslnoResize.2289239_0.jpg
2500.0,789000,315.6,98042,Kent,WA,14174 SE 255th St,4,4,https://www.redfin.com/WA/Kent/14174-SE-255th-St-98042/home/400562,https://ssl.cdn-redfin.com/photo/1/islphoto/807/genIslnoResize.2288807_0.jpg
2685.0,769000,286.40595903165735,98032,Kent,WA,21626 46th Pl S 89,5,5,https://www.redfin.com/WA/Kent/21626-46th-Pl-S-98032/unit-89/home/12318444,https://ssl.cdn-redfin.com/photo/1/islphoto/312/genIslnoResize.2285312_0.jpg
2130.0,719999,338.02769953051643,98031,Kent,WA,9522 S 214th Pl,3,3,https://www.redfin.com/WA/Kent/9522-S-214th-Pl-98031/home/385554,https://ssl.cdn-redfin.com/photo/1/islphoto/885/genIslnoResize.2285885_1.jpg
1095.0,350000,319.634703196347,98030,Kent,WA,26339 116th Ave SE Unit I205,3,3,https://www.redfin.com/WA/Kent/26339-116th-Ave-SE-98030/unit-I205/home/2066299,https://ssl.cdn-redfin.com/photo/1/islphoto/048/genIslnoResize.2287048_0.jpg
2319.0,789950,340.642518326865,98030,Kent,WA,730 Van De Vanter Ave,5,5,https://www.redfin.com/WA/Kent/730-Van-de-Vanter-Ave-98030/home/112863400,https://ssl.cdn-redfin.com/photo/1/islphoto/366/genIslnoResize.2287366_3.jpg
1416.0,455000,321.3276836158192,98031,Kent,WA,23501 112th Ave SE Unit N102,2,2,https://www.redfin.com/WA/Kent/23501-112th-Ave-SE-98031/unit-N102/home/72937,https://ssl.cdn-redfin.com/photo/1/islphoto/632/genIslnoResize.2287632_0.jpg
2710.0,905975,334.3081180811808,98042,Kent,WA,13323 SE 238th Pl 14,5,5,https://www.redfin.com/WA/Kent/13323-SE-238th-Pl-98042/unit-14/home/192393531,https://ssl.cdn-redfin.com/photo/1/islphoto/660/genIslnoResize.2286660_0.jpg
2726.0,914700,335.5465884079237,98042,Kent,WA,13317 SE 238th Pl 13,5,5,https://www.redfin.com/WA/Kent/13317-SE-238th-Pl-98042/unit-13/home/192393430,https://ssl.cdn-redfin.com/photo/1/islphoto/869/genIslnoResize.2286869_0.jpg
2525.0,880200,348.5940594059406,98042,Kent,WA,13324 SE 238th Pl 3,4,4,https://www.redfin.com/WA/Kent/13324-SE-238th-Pl-98042/unit-3/home/192393380,https://ssl.cdn-redfin.com/photo/1/islphoto/885/genIslnoResize.2286885_0.jpg
