Square Feet,Price,Zip,City,State,Street Address,Bedrooms,Bathrooms,URL,Image,Price/Sqft,Price Category
3050.0,1349000,98001,Auburn,WA,37242 42nd Ave S,4.0,4.0,https://www.redfin.com/WA/Auburn/37242-42nd-Ave-S-98001/home/364053,https://ssl.cdn-redfin.com/photo/1/islphoto/314/genIslnoResize.2312314_0.jpg,442.2950819672131,High
904.0,425000,98002,Auburn,WA,124 15th St SE,2.0,2.0,https://www.redfin.com/WA/Auburn/124-15th-St-SE-98002/home/214537,https://ssl.cdn-redfin.com/photo/1/islphoto/779/genIslnoResize.2310779_0.jpg,470.13274336283183,Low
1030.0,489990,98002,Auburn,WA,1508 Pike Pl NE,3.0,3.0,https://www.redfin.com/WA/Auburn/1508-Pike-Pl-NE-98002/home/218380,https://ssl.cdn-redfin.com/photo/1/islphoto/510/genIslnoResize.2311510_0.jpg,475.71844660194176,Low
1530.0,449950,98092,Auburn,WA,31635 104th Ave SE,3.0,3.0,https://www.redfin.com/WA/Auburn/31635-104th-Ave-SE-98092/home/407923,https://ssl.cdn-redfin.com/photo/1/islphoto/742/genIslnoResize.2311742_0.jpg,294.08496732026146,Low
3200.0,998000,98092,Auburn,WA,34716 169th Ave SE,4.0,4.0,https://www.redfin.com/WA/Auburn/34716-169th-Ave-SE-98092/home/379927,https://ssl.cdn-redfin.com/photo/1/islphoto/928/genIslnoResize.2308928_0.jpg,311.875,Medium-High
2060.0,659900,98001,Auburn,WA,34856 54th Ave S,3.0,3.0,https://www.redfin.com/WA/Auburn/34856-54th-Ave-S-98001/home/364840,https://ssl.cdn-redfin.com/photo/1/islphoto/843/genIslnoResize.2300843_0.jpg,320.3398058252427,Medium-low
2550.0,698880,98092,Auburn,WA,31505 114th Ave SE,4.0,4.0,https://www.redfin.com/WA/Auburn/31505-114th-Ave-SE-98092/home/406136,https://ssl.cdn-redfin.com/photo/1/islphoto/469/genIslnoResize.2311469_0.jpg,274.0705882352941,Medium-low
1660.0,665000,98001,Auburn,WA,3214 S 272nd Pl,3.0,3.0,https://www.redfin.com/WA/Auburn/3214-S-272nd-Pl-98001/home/208635,https://ssl.cdn-redfin.com/photo/1/islphoto/471/genIslnoResize.2306471_0.jpg,400.6024096385542,Medium-low
1660.0,538000,98001,Auburn,WA,29304 34th Ave S,3.0,3.0,https://www.redfin.com/WA/Auburn/29304-34th-Ave-S-98001/home/212327,https://ssl.cdn-redfin.com/photo/1/islphoto/370/genIslnoResize.2311370_0.jpg,324.09638554216866,Low
2219.0,774990,98001,Auburn,WA,4532 S 328th Ct,3.0,3.0,https://www.redfin.com/WA/Auburn/4532-S-328th-Ct-98001/home/188727146,https://ssl.cdn-redfin.com/photo/595/islphoto/89E/genIslnoResize.606975C5489E_0.jpg,349.25191527715185,Medium-low
2760.0,749000,98092,Auburn,WA,2407 Redwood Ct,4.0,4.0,https://www.redfin.com/WA/Auburn/2407-Redwood-Ct-98092/home/40080057,https://ssl.cdn-redfin.com/photo/1/islphoto/089/genIslnoResize.2311089_0.jpg,271.3768115942029,Medium-low
2725.0,818888,98002,Auburn,WA,1601 4th St SE,8.0,8.0,https://www.redfin.com/WA/Auburn/1601-4th-St-SE-98002/home/2068832,https://ssl.cdn-redfin.com/photo/1/islphoto/322/genIslnoResize.2311322_0.jpg,300.5093577981651,Medium-High
1620.0,224500,98092,Auburn,WA,31600 126th Ave SE Unit E27,3.0,3.0,https://www.redfin.com/WA/Auburn/31600-126th-Ave-SE-98092/unit-E27/home/143342300,https://ssl.cdn-redfin.com/photo/1/islphoto/873/genIslnoResize.2309873_0.jpg,138.58024691358025,Low
2741.0,849990,98001,Auburn,WA,4560 S 328th Ct,5.0,5.0,https://www.redfin.com/WA/Auburn/4560-S-328th-Ct-98001/home/188727121,https://ssl.cdn-redfin.com/photo/595/islphoto/2A0/genIslnoResize.34E76BD942A0_0.jpg,310.10215249908794,Medium-High
1840.0,549950,98092,Auburn,WA,33345 177th Pl SE,4.0,4.0,https://www.redfin.com/WA/Auburn/33345-177th-Pl-SE-98092/home/381056,https://ssl.cdn-redfin.com/photo/1/islphoto/082/genIslnoResize.2310082_1.jpg,298.8858695652174,Medium-low
1799.0,620000,98092,Auburn,WA,6113 Victoria Ct SE,4.0,4.0,https://www.redfin.com/WA/Auburn/6113-Victoria-Ct-SE-98092/home/2997242,https://ssl.cdn-redfin.com/photo/1/islphoto/193/genIslnoResize.2309193_0.jpg,344.6359088382435,Medium-low
2812.0,669888,98002,Auburn,WA,1203 22ND St NE,6.0,6.0,https://www.redfin.com/WA/Auburn/1203-22nd-St-NE-98002/home/218015,https://ssl.cdn-redfin.com/photo/1/islphoto/446/genIslnoResize.2310446_0.jpg,238.22475106685633,Medium-low
